District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-Group,Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Less than 1 year,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,1-5 years,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,6-10 years,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,More than 10 years,18
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Length of stay not stated,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Less than 1 year,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,1-5 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,6-10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,More than 10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Length of stay not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Less than 1 year,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,1-5 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,6-10 years,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,More than 10 years,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Length of stay not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Less than 1 year,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,1-5 years,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,6-10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,More than 10 years,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Length of stay not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Less than 1 year,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,1-5 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,6-10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,More than 10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Length of stay not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Less than 1 year,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,1-5 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,6-10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,More than 10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Length of stay not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 04 Years,Less than 1 year,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 04 Years,1-5 years,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 04 Years,6-10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 04 Years,More than 10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 04 Years,Length of stay not stated,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Less than 1 year,24
